cardNumber,cardType,Error
5567894523129089,MasterCard,None
59012345678901234567890,Invalid,InvalidCardNumber
4123456789123,Visa,None
347856341908126,AmericanExpress,None
6011111100007756,Discover,None
3601112345678789,Invalid,InvalidCardNumber
5167894523129089,MasterCard,None
4123456789123999,Visa,None
377856341908126,AmericanExpress,None
5367894523129089,MasterCard,None
6011*890HJrt6789,Invalid,InvalidCardNumber
,Invalid,InvalidCardNumber
5567894523129089,MasterCard,None
59012345678901234567890,Invalid,InvalidCardNumber
4123456789123,Visa,None
347856341908126,AmericanExpress,None
6011111100007756,Discover,None
3601112345678789,Invalid,InvalidCardNumber
5167894523129089,MasterCard,None
4123456789123999,Visa,None
377856341908126,AmericanExpress,None
5367894523129089,MasterCard,None
6011*890HJrt6789,Invalid,InvalidCardNumber
,Invalid,InvalidCardNumber
